Year	Rating	Conference	Title	Author Names
2014	8.8	Comedy	A Foreign Exchange Love	"Alan-Lee, Jeff;Barlage, Dean;Chan, El (I);Dusi, Mike;Fox, Marshall (V);Gopradi, Geovanni;Green, Wilson (II);Johns, Jeffrey A.;Joyner, Gary;Lane, Michael John;Losavio, Giuseppe;Michaels, Seth;Narito, Mitch;Polanco, Jose (II);Tasch, Robert (V);Tomic, Neven;Verdugo, Bernardo"
2012	8.6	Comedy	A Gentleman's Dignity	"Jang, Dong-gun;Kim, Min-jong;Kim, Su-ro;Kim, Woo-bin;Lee, Jong-hyeok (I);Lee, Jong-Hyun;Min, Jae-Sik;Ro, Kim Soo"
2002	8.8	Comedy	A Guy and a Girl	"Brown, Geordie (I);Clarke, Jeff (I);Cournoyer, Rejean;Owen, Mark A. (I)"
1990	8.9	Comedy	A Life in Pieces	"Cook, Peter (I);Kennedy, Ludovic"
1973	8.1	Drama	A Little Princess	"Ashby, Harvey;Bridge, Toby;Myers, Peter (II);Oulton, Brian;Pickering, Donald;Poole, Michael (I);Toone, Geoffrey;Zuber, Marc"
2010	8.1	Drama	A Passionate Woman	"Armstrong, Alun;Armstrong, Joe (II);Beaumont, Darren;Corduner, Allan;Davis, Jamie (II);Dixon, Michael (IV);Dowdall, Jim;Duttine, John;Fleeshman, David;James, Theo;Jervis, Philip;Krupinski, Renny;Lewis, Anthony (IV);Lonsdale, Robert (I);McHale, Ian;Potts, Andrew Lee (I);Price, Alex (V);Scargill, Arthur;Scates, Malcolm;Shaw, Sebastian (III);Somerfield, Jabe;Somerfield, Max;Warriner, Paul"
1974	8.7	Drama	A Raging Calm	"Armstrong, Duncan (IV);Armstrong, Gavin (III);Arundel, Rex;Badel, Alan;Boland, Eamon;Boyle, Tommy;Butler, Richard (I);Canavan, Chris (I);Collin, John (I);Crossley, Fred (I);Dignam, Basil;Dudley, Peter (I);Hartley, Robert (I);Havers, Nigel;Hume, Roger (I);Landy, Michael (I);Lycett, Denis;Miller, Brian (I);Morley, Donald;Pickles, John;Redford, Ian;Stratton, John (I);Williams, Michael (I)"
2014	8.3	Drama	A Segunda Vez	"Belsoff, Fabr•À_cio;Bercovitch, Michel;Ferreira, Ricardo (IX);Palmeira, Marcos;Ribeiro, Duda"
1990	8.5	Drama	A Sense of Guilt	"Beevers, Geoffrey;Bleasdale, Ian;Bleasdale, John;Brenner, Richard (I);Carter, Jim (I);Chancer, Norman (I);Chittenden, David (I);Condou, Charlie;Eve, Trevor (I);Frost, Roger (I);Ghir, Kulvinder;Hillyer, Terence;McGough, Philip;Owen, Christopher (I);Pope, David John;Venson, Clarence;Vivian, Michael (II);Wickham, Peter;Woodington, Albie"
1990	8.5	Comedy	A Set of Six	"Bilbow, Tony;Rivron, Rowland"
2011	8.3	Drama	A Thousand Days' Promise	"Kim, Rae-won;Sang-woo, Lee"
2006	8.5	Drama	A Touch Away	"Bibergal, Slava;David, Henry (III);Grad, Tzahi;Gvirtz, Nitai"
2008	8.5	Comedy	A Vodka Movie	"Galifianakis, Zach;Heidecker, Tim (I);Wareheim, Eric"
1969	8.6	Drama	A World Apart	"Birney, David;Carpenter, John (III);Conway, Kevin (I);Cowles, Matthew;Davis, Clifton (I);Devlin, John (I);Elliott, Stephen (I);Gentry, Robert;Ligon, Tom;Noble, James (I);Paulsen, Albert;Prince, William (I);Smith, George (VII);Storm, Sharon;Surovy, Nicolas;Tynan, Will;Wells, Darryl"
2003	8.1	Drama	A World in Arms	"Hodgson, Martin (I);Lawson, Denis;Richardson, Miles (I);Whitelock, Robert"
2008	8.9	Comedy	A World of Her PWN	"Chierichella, Rocco;Endo, Tom;Flores, Jemal;Gray, Matthew (III);Guttilla, Vito;Haritos, Chris;Haritos, Dimitrios;Hernandez, Fernando (III);Holkins, Jerry;Johnson III, William B.;Kendall, Gavin Starr;Krahulik, Mike;Morvant, Brian;Nova, Joey;Pierno, Corey;Pizzolorusso, Patrick;Slaughter, Ernie (II)"
1977	8.3	Comedy	A Year at the Top	"Bailey, Joel (I);Dell, Gabriel (I);Evigan, Greg;Rooney, Mickey (I);Shaffer, Paul;Starr, Robert (I);Thomerson, Tim (I)"
1976	8.4	Family	A legkisebb ugrif•À_les	"G•À_lv•À_lgyi, J•À_nos;Haumann, P•À_ter;M•À_rton, Andr•À_s (I)"
1994	8.8	Family	A*mazing	"Carter, A.J. (I);Sherry, James (I)"
1997	8.4	Comedy	A.M.A.N.	"Kalivatsis, Sotiris;Kanakis, Antonis;Piperis, Vasilis;Servetas, Giannis"
1989	8.2	Comedy	ABCD Nuls	"Carette, Bruno;Chabat, Alain;Farrugia, Dominique;Lundgren, Dolph"
2011	8.1	Action	AXI: Avengers of eXtreme Illusions	"Anderson, Jason (XLV);Boudreaux, Bob;Carrell, Larry Wade;Chbeeb, Phillip;Crew, Poreotics Dance;Di Zang, Moon;Dosal, Emilio;Friedman, Brian (I);Gailey, Lee Patrick;Harrell, Brandon;Hewett, Liz Anne;Hubela, George;Itz, Brandon;Kolar, Jordan Sifu;Konishi, Hokuto 'Hok';Longmore, James H.;Majors, Lee (I);Nicholson, Nick W.;Reuel;Rochelle, Jarell;Smith, Chadd;Twins, Les;Walsh, Dominic;Welling, Shawn;Zhang, Di Moon"
1985	8.7	Drama	Aai Shob Din Ratri	"Ahmed, Bulbul;Ali Khan, Masud;Haque, Enamul;Haque, Kazi Mehfuzul;Khan, Khaled;Noor, Asaduzzaman"
1999	8.3	Comedy	Aaj Robibar	"Ahmed, Faruk;Ahmed, Saleh (II);Hasan, Zahid;Hayat, Abul;Khair, Abul (I);Khondokar, Shuja;Noor, Asaduzzaman;Sur, Dipak Kumar;Tuhin;Zaker, Aly"
1991	8.4	Comedy	Abangan ang susunod na kabanata	"Diaz, Ogie;Eagle (I);Isla, Joji;Lagmay, Sammy;Paulate, Roderick;Santos, Jon (I);Trinidad, Noel;Webb, Freddie;Yllana, Anjo"
2007	8.3	Drama	Abarenb•À_ mama	"Azuma, Mikihisa;Chinnery, Mark;Himura, Y•À_ki;Kaburagi, Kaichi;Mukai, Osamu;Ohwada, Shin'ya;Okamoto, K•À_tar•À_;Otoo, Takuma;Seto, K•À_ji;Shibuya, Takeru;Shitara, Osamu;Tanihata, Kanato;•À_izumi, Y•À_"
1978	8.4	Drama	Abig•À_l	"Bal•À_zsovits, Lajos (I);Barbinek, P•À_ter;Bende, L•À_szl•À_ (I);B•À_sti, Lajos;D•À_ms•À_di, J•À_nos;Garas, Dezs•À_;Hark•À_nyi, •À_d•À_n;Horv•À_th, P•À_l (I);Keres, Emil;Kov•À_cs, Istv•À_n (I);K•À_pessy, J•À_zsef;Nagy, Attila (I);So•À_s, L•À_szl•À_;Szab•À_, Imre (I);S•À_rosi, G•À_bor;V•À_gv•À_ri, Tam•À_s;Zoltai, Mikl•À_s;Z•À_ch, J•À_nos"
