Conference,Year,Title,PaperType,Authors,Keywords
Vis,1992,Grand challenge problems in visualization software,M,Lloyd A. Treinish;David M. Butler;Hikmet Senay;Georges G. Grinstein;Steve T. Bryson,
Vis,1992,Techniques for managing very large scientific databases,M,William J. Campbell;George Fekete;Robert F. Cromp;Ray Wall;Michael Goldberg,
Vis,1992,Visualizing n-dimensional implications of two-dimensional design decisions,C,Stephen M. Ervin,
Vis,1992,Interactive terrain rendering and volume visualization on the Princeton Engine,C,James T. Kaba;J. Matey;Gordon Stoll;Herb Taylor;Pat Hanrahan,
Vis,1992,"A voxel-based, forward projection algorithm for rendering surface and volumetric data",C,John R. Wright;Julia C. Hsieh,
Vis,1992,Optimizing triangulations by curvature equalization,C,Lori L. Scarlatos;Theodosios Pavlidis,
Vis,1992,"Visualization of high resolution, three-dimensional, nonlinear finite element analyses",C,Mark A. Christon;T. Spelce,
Vis,1992,Visualization of second order tensor fields and matrix data,C,Thierry Delmarcelle;Lambertus Hesselink,
Vis,1992,Volume warping,C,T. J. True;J. F. Hughes,
Vis,1992,Network video device control,C,David R. Nadeau;Michael J. Bailey,
Vis,1992,Virtual spacetime: an environment for the visualization of curved spacetimes via geodesic flows,C,Steve Bryson,
Vis,1992,Automated design of virtual worlds for visualizing multivariate relations,C,Clifford Beshers;Steven K. Feiner,
Vis,1992,Visualization for the document space,C,X. Lin,
Vis,1992,Visualization of fuzzy data using generalized animation,C,Nahum D. Gershon,
Vis,1992,Surface curvature analysis using color,C,L. R. Seidenberg;Robert B. Jerard;J. Megewick,
Vis,1992,"Color, change, and control of quantitative data display",C,Penny Rheingans,
Vis,1992,SuperGlue: a programming environment for scientific visualization,C,Jeff P. Hultquist;E. L. Raible,
Vis,1992,A characterization of the scientific data analysis process,C,R. R. Springmeyer;Meera Blattner;Nelson L. Max,
Vis,1992,A scientific visualization renderer,C,Bruce Lucas,
Vis,1992,VISAGE: an object-oriented scientific visualization system,C,William J. Schroeder;William E. Lorensen;G. D. Montanaro;Christopher R. Volpe,
Vis,1992,Visualizing code profiling line oriented statistics,C,Stephen G. Eick;Joseph L. Steffen,
Vis,1992,The state of the art of visual languages for visualization,C,Carla S. Williams;John Rasure;C. Hansen,
Vis,1992,Visual query specification in a multimedia database system,C,Daniel A. Keim;Vincent Y. Lum,"Visual Query Specijication, Graphical User Interface, Multimedia Database System, Natural-Language Interface, Information Retrieval, Image Data Management"
Vis,1992,Logical time in visualizations produced by parallel programs,C,Janice E. Cuny;Alfred Hough;Joydip Kunda,
Vis,1992,Visualizing wind velocities by advecting cloud textures,C,Nelson L. Max;Roger Crawfis;Dean Williams,"advection, 3-D texture, volume visualization, vectorfield, wind, clouds, climate modeling"
Vis,1992,Constructing stream surfaces in steady 3D vector fields,C,Jeff P. Hultquist,
Vis,1992,Flow visualization as a basic tool to investigate the dynamics and topology of jets,C,Fernando Grinstein;Upul Obeysekare;Gopal Patnaik,
Vis,1992,Visualization of simulated airflow in a clean room,C,K. Koyamada,
Vis,1992,Representing medical images with partitioning trees,C,Kalpathi R. Subramanian;Bruce F. Naylor,
Vis,1992,Display of scientific data structures for algorithm visualization,C,William L. Hibbard;Charles R. Dyer;Brian E. Paul,
Vis,1992,An efficient range search algorithm for visualizing extrema of volume data,C,Xiaolin Wu;Yonggang Fang,"Visualization of volume data, multidimensional range search, computational geometry, algorithms, data structures, expected time complexity, nearest common ancestor"
Vis,1992,Improving the visualization of hierarchies with treemaps: design issues and experimentation,C,David Turo;B. Johnson,
Vis,1992,Anatomical atlases based on volume visualization,C,Karl Heinz HÃ¶hne;Andreas Pommert;Martin Riemer;Thomas Schiemann;Rainer Schubert;Ulf Tiede;Werner Lierse,
Vis,1992,An architecture for a scientific visualization system,C,Bruce Lucas;G. D. Abrams;Nancy S. Collins;D. A. Epstien;Donna L. Gresh;Kevin P. McAuliffe,
Vis,1992,Direct volumetric visualization,C,R. D. Williams;Fred L. Wefer;T. E. Clifton,
Vis,1992,Volume rendering on a distributed memory parallel computer,C,T. Todd Elvins,
Vis,1992,Four-dimensional views of 3D scalar fields,C,Andrew J. Hanson;Pheng-Ann Heng,
Vis,1992,Massively parallel isosurface extraction,C,Charles D. Hansen;Paul A. Hinker,
Vis,1992,Generalized focal surfaces: a new method for surface interrogation,C,Hans Hagen;Stefanie Hahmann,
Vis,1992,A 3-D streamline tracking algorithm using dual stream functions,C,David N. Kenwright;Gordon D. Mallison,
Vis,1992,Rendering surface-particles,C,Jarke J. van Wijk,
Vis,1992,Virtual Smoke: an interactive 3D flow visualization technique,C,Kwan-Liu Ma;Philip J. Smith,
Vis,1992,Interactive splatting of nonrectilinear volumes,C,Peter L. Williams,
Vis,1992,Interactive visualization of large scalar voxel fields,C,Georgios Sakas;J. Hartig,
Vis,1992,Approximation and rendering of volume data using wavelet transforms,C,Shigeru Muraki,
Vis,1992,Towards a comprehensive volume visualization system,C,Ricardo S. Avila;Lisa M. Sobierajski;Arie E. Kaufman,
Vis,1993,Fast volume rendering of compressed data,C,Paul Ning;Lambertus Hesselink,
Vis,1993,Flow volumes for interactive vector field visualization,C,Nelson L. Max;Barry G. Becker;Roger Crawfis,
Vis,1993,The vision camera: An interactive tool for volume data exploration and navigation,C,Hans-Heino Ehricke;G. Daiber;Wolfgang StraÃŸer,
Vis,1993,Visualization of time-dependent flow fields,C,David A. Lane,
Vis,1993,A probe for local flow field visualization,C,Wim C. de Leeuw;Jarke J. van Wijk,
Vis,1993,Visualization of turbulent flow with particles,C,Andrea J. S. Hin;Frits H. Post,
Vis,1993,Optimal filter design for volume reconstruction and visualization,C,Ingrid Carlbom,
Vis,1993,Accelerating volume animation by space-leaping,C,Roni Yagel;Z. Shi,
Vis,1993,Rapid exploration of curvilinear grids using direct volume rendering (Extended Abstract),C,Allen Van Gelder;Jane Wilhelms,
Vis,1993,Volume sampled voxelization of geometric primitives,C,Sidney W. Wang;Arie E. Kaufman,"voxelization, volume sampling, discrete ray tracing, filtering"
Vis,1993,Tioga: A database-oriented visualization tool,C,Michael Stonebraker;Jolly Chen;Nobuko Nathan;Caroline Paxson;Alan Su;Jiang Wu,
