Year	Topic	Title	Author				
2013	Security	identifying;effective;test;cases;k-means;clustering;enhancing;regression;testing	Namin				
2013	Security	how;significant;is;effect;fault;interactions;coverage-based;fault;localizations?	Namin				
2013	Security	measuring;odds;statements;being;faulty	Namin				
2013	Artificial Intelligence	metadata;manipulation;interface;design	Richard Watson				
2013	Artificial Intelligence	logic;programming;approach;aspect;extraction;opinion;mining	Yuanlin Zhang				
2013	Artificial Intelligence	towards;answer set;programming;sorts	Yuanlin Zhang				
2013	Artificial Intelligence	tutorialplan;automated;tutorial;generation;cad;drawings	Yuanlin Zhang				
2013	Artificial Intelligence	sparc-sorted;asp;consistency;restoring;rules	Yuanlin Zhang				
2013	High Performance Computing	load-balancing;force;decomposition;scheme;parallel;simulation;chemical;dynamics;multiple;inter-atomic;force;models	Zhuang				
2013	High Performance Computing	memory-conscious;collective;i/o;extreme;scale;hpc;systems	Zhuang				
2013	High Performance Computing	stabilizations;trotter-kato;theorem;chernoff;product;formula	Zhuang				
2013	High Performance Computing	hierarchical;i/o;scheduling;collective;i/o	Zhuang				
2013	High Performance Computing	direct;chemical;dynamics;simulations;coupling;classical;quasiclassical;trajectories;electronic;structure;theory	Zhuang				
2013	High Performance Computing	accelerated;direct;semiclassical;molecular;dynamics;compact;finite;difference;hessian;scheme	Zhuang				
2014	High Performance Computing	hmc-sim;simulation;framework;hybrid;memory;cube;devices	Y Chen				
2014	High Performance Computing	property;graphs;rich;metadata;management;hpc;systems	Y Chen				
2014	High Performance Computing	two-choice;randomized;dynamic;i/o;scheduler;object;storage;systems	Y Chen				
2014	High Performance Computing	provenance-based;object;storage;prediction;scheme;scientific;big;applications	Y Chen				
2014	High Performance Computing	in-advance;analytics;reducing;time;discovery	Y Chen				
2014	High Performance Computing	working;set;reorganization;manage;storage;systems;hard;solid;state;disks	Y Chen				
2014	High Performance Computing	decoupled;i/o;data-intensive;high;performance;computing	Y Chen				
2014	High Performance Computing	domino;incremental;computing;framework;cloud;eventual;synchronization	Y Chen				
2014	High Performance Computing	revealing;applications;access;pattern;collective;i/o;cache;management	Y Chen				
2014	High Performance Computing	provenance-based;prediction;scheme;object;storage;system;hpc	Y Chen				
2014	High Performance Computing	adaptive;separation-aware;ftl;improving;efficiency;garbage;collection;ssds	Y Chen				
2014	High Performance Computing	iteration;based;collective;i/o;strategy;parallel;i/o;systems	Y Chen				
2014	High Performance Computing	model-driven;layout;selection;improving;read;performance	Y Chen				
2014	Software Engineering	cyber-security;analysis;smart;grid;scadsystems;game;models	Hewett				
2014	Software Engineering	smart;grid;security;deriving;informed;decisions;cyber;attack;game;analysis	Hewett				
2014	Security	effective;evacuation;route;planning;algorithms;updating;earliest;arrival;time;multiple;paths	S Lim				
2014	Security	lightweight;forwarding;protocols;energy;harvesting;wireless;sensor;networks	S Lim				
2014	Security	user-defined;consistency;sensitive;cache;invalidation;strategies;wireless;access	S Lim				
2014	Security	geometric;broadcast;without;gps;support;dense;wireless;sensor;networks	S Lim				
2014	Data Science	examination;rule;generation;detection;phishing;urls;online;logistic;regression	Mengel				
2014	Security	feature;selections;effectively;localizing;faulty;events;gui;applications	Namin				
2014	Security	trimming;test;suites;coincidentally;correct;test;cases;enhancing;fault;localizations	Namin				
2014	Security	accuracy;user;authentication;keystroke;features;frequent;words	Namin				
2014	Security	measuring;energy;efficiency;ratio;parallelized;software;applications	Namin				
2014	Security	building;cyber;security;instructional;plans;through;faculty;development;program	Namin				
2014	Security	stimulating;software;security;education;community;colleges;through;training;workshops	Namin				
2014	Artificial Intelligence	generating;capital;social;media	Richard Watson				
2014	Artificial Intelligence	refinement;language;epistemic;specifications	Richard Watson
2014	Artificial Intelligence	enrollment;management;influence;student;quality;retention	Richard Watson
2014	Artificial Intelligence	preliminary;result;finding;treatments;patients;comorbidity	Yuanlin Zhang
2014	Artificial Intelligence	vicious;circle;principle;logic;programs;aggregates	Yuanlin Zhang				
2014	High Performance Computing	towards;efficient;direct;semiclassical;molecular;dynamics;complex;molecular;systems	Zhuang				
2014	High Performance Computing	revealing;applications;access;pattern;collective;i/o;cache;management	Zhuang				
2014	High Performance Computing	novel;finite;difference;discretization;interface;boundary;conditions;stablized;explicit-implicit;domain;decomposition;methods	Zhuang				
2014	High Performance Computing	communication;delegation;method;exascale;systems	Zhuang				
2014	High Performance Computing	maximizing;hardware;performance;non-blocking;collective;communication;all;pairs;shortest;paths;computation;heterogeneous;multi-core;processors	Zhuang				
2015	High Performance Computing	low-cost;adaptive;separation;method;flash;translation;layer;solid;state;drives	Y Chen				
2015	High Performance Computing	efficient;disk-to-disk;sorting;case;study;decoupled;execution;paradigm	Y Chen				
2015	High Performance Computing	two-mode;distribution;scheme;heterogeneous;storage;centers	Y Chen				
2015	High Performance Computing	hierarchical;collective;i/o;scheduling;high-performance;computing	Y Chen				
2015	High Performance Computing	graphtrek;asynchronous;graph;traversal;property;graph-based;metadata;management	Y Chen				
2015	High Performance Computing	mams;highly;reliable;policy;metadata;service	Y Chen				
2015	High Performance Computing	communication;avoiding;power;scaling	Y Chen				
2015	High Performance Computing	collective;computing;scientific;big;analysis	Y Chen				
2015	High Performance Computing	virtual;shared;metadata;storage;hdfs	Y Chen				
2015	High Performance Computing	mammoth;gearing;hadoop;towards;memory-intensive;mapreduce;applications	Y Chen				
2015	High Performance Computing	performance;model-directed;sieving;high-performance;i/o	Y Chen				
2015	High Performance Computing	goblincore64;architectural;specification;technical;report;2015-001	Y Chen				
2015	High Performance Computing	collective;input/output;memory;constraints	Y Chen				
2015	High Performance Computing	big;research	Y Chen				
2015	Software Engineering	ranking;intrusion;likelihoods;exploitability;network;vulnerabilities;large-scale;attack;model	Hewett				
2015	Security	spy;vs;spy;camouflage-based;active;detection;energy;harvesting;motivated;networks	S Lim				
2015	Security	multimedia;streaming;mobile;networks;exploring;quality;gain;potentials;p2p;coordinative;multisource;selection	S Lim				
2015	Security	media;access;control;protocol;wireless;networks	S Lim				
2015	Security	energy-balanced;resource;scheduling;policy;optimality;qos;assurance;multi-hop;wireless;multimedia;networks	S Lim				
2015	Security	hop-by-hop;cooperative;detection;selective;forwarding;attacks;energy;harvesting;wireless;sensor;networks	S Lim				
2015	Security	network;coverage;sensitive;pseudo;geometric;broadcast;protocols;wireless;sensor;networks	S Lim				
2015	Data Science	phishing;url;detection;url;ranking	Mengel				
2015	Data Science	multi-stage;decision;method;generate;rules;student;retention	Mengel				
2015	Data Science	empirical;study;iterative;improvement;programming;assignments	Mengel				
2015	Security	predicting;vulnerable;software;components;n-gram;analysis;statistical;feature;selection	Namin				
2015	Security	effective;user;authentications;keystroke;dynamics;based;feature;selections	Namin				
2015	Security	statistical;fault;localization;based;importance;sampling	Namin				
2015	Security	accuracy;classification-based;keystroke;dynamics;continuous;user;authentication	Namin				
2015	Security	accuracy;keystroke;authentications;based;commonly;used;english;words	Namin				
2015	Security	muranker;mutant;ranking;tool	Namin				
2015	Security	reasoning;based;imperfect;context;adaptive;security	Namin				
2015	Security	debugging;parallel;sequential;empirical;study	Namin				
2015	Security	keystroke;active;authentications;based;frequently;used;words	Namin				
2015	Security	cyberspace;security;use;keystroke;dynamics	Namin				
2015	Security	faculty;development;programs;cybersecurity;community;colleges;experience;lessons;learned;report;two-year;education;project	Namin				
2015	Artificial Intelligence	language;epistemic;specifications;(refined);including;prototype;solver	Yuanlin Zhang				
2015	Artificial Intelligence	automated;rule;selection;aspect;extraction;opinion;mining	Yuanlin Zhang				
2015	Artificial Intelligence	accelerating;sat;solving;common;subclause;elimination	Yuanlin Zhang				
2015	Artificial Intelligence	epileptic;seizure;detection;prediction;based;continuous;cerebral;blood;flow;monitoring;a;review	Yuanlin Zhang				
2015	High Performance Computing	hierarchical;collective;i/o;scheduling;high-performance;computing	Zhuang				
2015	High Performance Computing	performance;model-directed;sieving;high-performance;i/o	Zhuang				
2015	High Performance Computing	collective;input/output;memory;constraints	Zhuang				
2016	High Performance Computing	generic;framework;testing;parallel;file;systems	Y Chen				
2016	High Performance Computing	corrigendum;high;order;predictor;corrector;integration;algorithm;first;principle;chemical;dynamics;simulations;	Y Chen				
2016	High Performance Computing	asynchronous;traversal;engine;graph-based;rich;metadata;management	Y Chen				
2016	High Performance Computing	exploring;tag-bit;memory;operations;hybrid;memory;cubes	Y Chen				
2016	High Performance Computing	concurrent;dynamic;memory;coalescing;goblincore-64;architecture	Y Chen				
2016	High Performance Computing	graphmeta;graph-based;engine;managing;large-scale;hpc;rich;metadata	Y Chen				
2016	High Performance Computing	hierarchical;consistent;hashing;heterogeneous;object-based;storage	Y Chen				
2016	High Performance Computing	rethinking;high;performance;computing;system;architecture;scientific;big;applications	Y Chen				
2016	High Performance Computing	cloud;benchmarking;bare-metal;virtualized;containerized;execution;environments	Y Chen				
2016	High Performance Computing	log-assisted;straggler-aware;i/o;scheduler;high-end;computing	Y Chen				
2016	High Performance Computing	parallel-dftl;flash;translation;layer;exploits;internal;parallelism;solid;state;drives	Y Chen				
2016	High Performance Computing	suora;scalable;uniform;distribution;algorithm;heterogeneous;storage;systems	Y Chen				
2016	High Performance Computing	active;burst-buffer;in-transit;processing;integrated;hierarchical;storage	Y Chen				
2016	High Performance Computing	block2vec;deep;learning;strategy;mining;block;correlations;storage;systems	Y Chen				
2016	High Performance Computing	hmc-sim-20;simulation;platform;exploring;custom;memory;cube;operations	Y Chen				
2016	High Performance Computing	segmented;in-advance;analytics;fast;scientific;discovery	Y Chen				
2016	High Performance Computing	graphmeta;managing;hpc;rich;metadata;graphs	Y Chen				
2016	Software Engineering	cybersecurity;policy;verification;declarative;programming	Hewett				
2016	Software Engineering	sonifying;internet;security;threats	Hewett				
2016	Security	validity;region;sensitive;query;processing;strategies;mobile;ad;hoc;networks	S Lim				
2016	Security	accurate;evacuation;route;planning;forward-backward;shortest;paths	S Lim				
2016	Security	tcast;transitional;region;aware;broadcast;protocol;variable;wireless;link;qualities	S Lim				
2016	Data Science	elastic;multi-stage;decision;rules;infrequent;class	Mengel				
2016	Security	your;substance;abuse;disorder;is;open;secret!;gleaning;sensitive;personal;information;templates;eeg-based;authentication;system	A Serwadda				
2016	Security	continuous;authentication;smartphone;users;fusing;typing;swiping;phone;movement;patterns	A Serwadda				
2016	Security	toward;robotic;robbery;touch;screen	A Serwadda				
2016	Security	context-aware;active;authentication;touch;gestures;typing;patterns;body;movement	A Serwadda				
2016	Security	topology;routing;modeling;tools	A Serwadda				
2016	Security	localization;tracking;wsns	A Serwadda				
2016	Security	coverage;connectivity	A Serwadda				
2016	Security	wsn;architecture	A Serwadda				
2016	Security	wireless;sensor;networks	A Serwadda				
2016	Security	wsn;platforms	A Serwadda				
2016	Security	security;wsns	A Serwadda				
2016	Security	quality;service	A Serwadda				
2016	Software Engineering	reusable;secure;connectors;secure;software;architecture	Micheal Shin				
2016	Security	early;identification;vulnerable;software;components;ensemble;learning	Namin				
2016	Security	impact;address;changes;host;diversity;effectiveness;moving;target;defense;strategy	Namin				
2016	Security	adaptive;reasoning;presence;imperfect;security;requirements	Namin				
2016	Security	adaptive;reasoning;context-sensitive;access;controls	Namin				
2016	Security	sonifying;internet;security;threats	Namin				
2016	Security	teaching;cyber;security;competition	Namin				
2016	Security	teaching;cyber;security;competition;experience;report;participatory;training;workshop	Namin				
2016	Security	internet;use;cybersecurity;concerns;individuals;visual;impairments	Namin				
2016	Artificial Intelligence	editors;comments	Richard Watson				
2016	Artificial Intelligence	treetags;bringing;tags;hierarchical;file;system	Richard Watson				
2016	Artificial Intelligence	efficient;knowledge;market;proposition;we;already;knew;that!	Richard Watson				
2016	Artificial Intelligence	flow;based;security;iot;devices;sdn;gateway	Richard Watson				
2016	Artificial Intelligence	automated;rule;selection;opinion;target;extraction	Yuanlin Zhang				
2016	Artificial Intelligence	characterization;semantics;logic;programs;aggregates	Yuanlin Zhang				
2016	Artificial Intelligence	online;logic;programming;development;environment	Yuanlin Zhang				
2016	Artificial Intelligence	declarative;programming;introductory;computer;science;course;high;school;students	Yuanlin Zhang				
2016	Artificial Intelligence	improving;opinion;aspect;extraction;semantic;similarity;aspect;associations	Yuanlin Zhang				
2016	High Performance Computing	symmetric;repositioning;bisecting;k-means;centers;increased;reduction;distance;calculations;big;clustering	Zhuang				
2016	High Performance Computing	corrigendum;high;order;predictor;corrector;integration;algorithm;first;principle;chemical;dynamics;simulations;	Zhuang				
2016	High Performance Computing	limited-iteration;bisecting;k-means;fast;clustering;large;datasets	Zhuang				
2016	High Performance Computing	computational;reordered;algorithm;overlapping;communication;computation;all;pairs;shortest;path;problem;distributed;memory;environments	Zhuang				
2017	High Performance Computing	refactoring;molecular;docking;simulation;heterogeneous;manycore;processors;systems	Y Chen				
2017	High Performance Computing	dataflow-based;runtime;support;100p;actual;system	Y Chen				
2017	High Performance Computing	automated;performance;modeling;based;runtime;feature;detection;machine;learning	Y Chen				
2017	High Performance Computing	benchmarking;automated;hardware;management;technologies;modern;centers;cloud;environments	Y Chen				
2017	High Performance Computing	daac;workshop;chairs;welcome	Y Chen				
2017	High Performance Computing	pressure-driven;hardware;managed;thread;concurrency;irregular;applications	Y Chen				
2017	High Performance Computing	dataflow;model;cloud;computing;frameworks;big data	Y Chen				
2017	High Performance Computing	hmc-sim-20;co-design;infrastructure;exploring;custom;memory;cube;operations	Y Chen				
2017	High Performance Computing	lightweight;provenance;service;high-performance;computing	Y Chen				
2017	High Performance Computing	opensoc;system;architect;open;toolkit;building;soft-cores;fpgas	Y Chen				
